# time identity distance inter intra
4357 1 102.780982 152.626388 14.761966
4358 1 102.201272 148.973860 18.974595
4359 1 102.761614 144.438166 25.342864
4360 1 107.359926 109.739053 15.856583
4361 1 113.706926 115.156999 19.161331
4362 1 113.902492 115.710794 20.231067
4363 1 112.120341 105.668984 18.164462
4364 1 107.211736 106.601811 20.706401
4365 1 112.754668 90.136579 17.438388
4366 1 116.763798 101.551265 17.473716
4367 1 127.389646 68.765009 22.457436
4368 1 125.593816 62.053367 17.446835
4369 1 127.394899 64.956401 21.510182
4370 1 126.277018 72.508314 30.597284
4371 1 112.450466 86.437478 30.496730
4372 1 109.702771 87.279717 26.075542
4373 1 113.886861 89.250614 25.776403
4374 1 105.134549 113.209029 18.456342
4375 1 99.918339 130.482411 19.616067
4376 1 115.019324 80.145131 18.992219
4377 1 115.835857 93.432438 25.803704
4378 1 114.873079 92.771608 21.500133
4379 1 111.511487 100.149796 21.452359
4380 1 107.935047 123.287050 25.441947
4381 1 106.088465 115.618999 21.212073
4382 1 93.998393 119.267508 21.605122
4383 1 88.937682 128.566525 14.367924
4384 1 100.024142 128.726009 11.739583
4385 1 102.252417 118.964239 19.108601
4386 1 100.820096 115.231289 18.346605
4387 1 113.254525 97.114721 15.109361
4388 1 111.915233 121.905225 18.192079
4389 1 109.894363 112.955967 19.886730
4390 1 122.003238 96.604895 20.355233
4391 1 123.647468 82.060352 17.361358
4392 1 128.647418 69.962457 20.758814
4393 1 129.796576 59.415835 22.239374
4394 1 120.227328 80.061054 27.515387
4395 1 124.963264 76.478052 16.062130
4396 1 120.159203 68.347819 13.256598
4397 1 127.928738 75.783206 20.137849
4398 1 126.186397 80.623758 15.453773
4399 1 117.914202 80.934206 12.261089
4400 1 110.405423 106.919977 15.181703
4401 1 109.400226 96.550165 13.288797
4402 1 106.795383 97.278897 13.584169
4403 1 99.659836 128.764875 13.707494
4404 1 101.807091 117.566899 12.366001
4405 1 104.097226 107.464459 12.955107
4406 1 102.950946 97.208339 18.160481
4407 1 105.386659 100.872465 16.165790
4408 1 105.975977 103.716309 14.886596
4409 1 100.164071 124.824150 19.763371
4410 1 102.439170 130.812142 22.499016
4411 1 102.466925 113.375921 21.889782
4412 1 106.590835 121.347972 25.266770
4413 1 95.441987 120.613830 26.594243
4414 1 95.361810 110.229931 18.811604
4415 1 82.879675 122.474065 20.013873
4416 1 85.182050 124.007825 23.073831
4417 1 88.625060 117.854517 19.129871
4418 1 92.612869 115.795893 19.158271
4419 1 95.895533 93.099030 22.593701
4420 1 101.679578 98.332534 20.750388
4421 1 112.495844 70.560448 18.782896
4422 1 104.150541 108.604988 17.738643
4423 1 110.178599 106.972075 23.834638
